??????,??????,?????????,,,,,,,,,,993,67,1060
1??1,25,1,,,,,,,,,,,,
1??1,26,0,,,,,,,,,,,,
1??1,20,3,,,,,,,,,,,,
1??1,26,2,,,,,,,,,,,,
1??2,23,3,,,,,,,,,,,,
1??1,24,3,,,,,,,,,,,,
1??1,25,2,,,,,,,,,,,,
1??2,25,2,,,,,,,,,,,,
1?1,25,2,,,,,,,,,,,,
1?1,27,2,,,,,,,,,,,,
1?1,25,5,,,,,,,,,,,,
1?1,24,0,,,,,,,,,,,,
2??1,23,1,,,,,,,,,,,,
2??1,23,2,,,,,,,,,,,,
2??2,25,4,,,,,,,,,,,,
2??1,25,3,,,,,,,,,,,,
2??1,26,3,,,,,,,,,,,,
2??2,24,3,,,,,,,,,,,,
2??1,25,2,,,,,,,,,,,,
2??1,26,1,,,,,,,,,,,,
2?1,25,2,,,,,,,,,,,,
2?1,25,6,,,,,,,,,,,,
2?1,25,1,,,,,,,,,,,,
2?1,26,5,,,,,,,,,,,,
3??1,25,0,,,,,,,,,,,,
3??2,21,0,,,,,,,,,,,,
3??1,25,0,,,,,,,,,,,,
3??1,25,2,,,,,,,,,,,,
3??1,23,1,,,,,,,,,,,,
3??2,22,1,,,,,,,,,,,,
3??1,25,1,,,,,,,,,,,,
3??1,25,1,,,,,,,,,,,,
3??2,25,1,,,,,,,,,,,,
4??1,25,0,,,,,,,,,,,,
4??2,23,0,,,,,,,,,,,,
4??1,24,0,,,,,,,,,,,,
4??1,15,1,,,,,,,,,,,,
4??2,25,0,,,,,,,,,,,,
4??1,22,1,,,,,,,,,,,,
4??2,23,0,,,,,,,,,,,,
4??1,23,4,,,,,,,,,,,,
1??3,0,0,,,,,,,,,,,,
1??3,0,0,,,,,,,,,,,,
1??3,0,0,,,,,,,,,,,,
1??3,0,0,,,,,,,,,,,,
1??3,0,0,,,,,,,,,,,,
1?3,0,0,,,,,,,,,,,,
1?3,0,0,,,,,,,,,,,,
2??3,0,0,,,,,,,,,,,,
2??3,0,0,,,,,,,,,,,,
2??3,0,0,,,,,,,,,,,,
2??3,0,0,,,,,,,,,,,,
2??3,0,0,,,,,,,,,,,,
2?3,0,0,,,,,,,,,,,,
2?3,0,0,,,,,,,,,,,,
3??3,0,0,,,,,,,,,,,,
3??3,0,0,,,,,,,,,,,,
3??3,0,0,,,,,,,,,,,,
3??3,0,0,,,,,,,,,,,,
3??3,0,0,,,,,,,,,,,,
4??3,2,-2,,,,,,,,,,,,
4??3,0,0,,,,,,,,,,,,
4??3,2,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,
